collaborative,description,external_urls,href,id,images,name,owner,primary_color,public,snapshot_id,tracks,type,playlist_uri
False,"Your weekly mixtape of fresh music. Enjoy new discoveries and deep cuts chosen just for you. Updated every Monday, so save your favorites!",{'spotify': 'https://open.spotify.com/playlist/37i9dQZEVXcTfdHhLJ2MEd'},https://api.spotify.com/v1/playlists/37i9dQZEVXcTfdHhLJ2MEd,37i9dQZEVXcTfdHhLJ2MEd,"[{'height': None, 'url': 'https://newjams-images.scdn.co/v2/discover-weekly/OJkw74o3xtAek-yQTMkcW31EXIms_Mf7A1S4Dv6hbakFlhXCXiDuFbl9TY4_TTp5Nb8z1e3-30It3hAQxHBk36nhEBT-1ggMCsDuV3xcxeM=/MDM6MjA6MDBUMzItNDAtMA==/default', 'width': None}]",Discover Weekly,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,False,MjY0MzU1MjAsMDAwMDAwMDA4NzFjM2MxYjZiZTkxZjQ4ODY3ZWI2NDI3YTM2ODgwZA==,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZEVXcTfdHhLJ2MEd/tracks', 'total': 30}",playlist,spotify:playlist:37i9dQZEVXcTfdHhLJ2MEd
False,"Never miss a new release! Catch all the latest music from artists you follow, plus new singles picked just for you. Updates every Friday.",{'spotify': 'https://open.spotify.com/playlist/37i9dQZEVXbs1m1DKcFVhr'},https://api.spotify.com/v1/playlists/37i9dQZEVXbs1m1DKcFVhr,37i9dQZEVXbs1m1DKcFVhr,"[{'height': None, 'url': 'https://newjams-images.scdn.co/v1/img/94dd2feca73bdfb7e1c12751b499ec0a46024866/en/default', 'width': None}]",Release Radar,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,False,MjY0MzE0NDAsMDAwMDAwMDBmMzJlZjBiZWMyYWU3OTZmODkxYTA1N2VlNzk3YmI0MQ==,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZEVXbs1m1DKcFVhr/tracks', 'total': 30}",playlist,spotify:playlist:37i9dQZEVXbs1m1DKcFVhr
False,sitting on the edge of the bed staring out at the city streets with faint sirens singing in the background,{'spotify': 'https://open.spotify.com/playlist/5cVuOsEoWbZHuBW6uI8UZT'},https://api.spotify.com/v1/playlists/5cVuOsEoWbZHuBW6uI8UZT,5cVuOsEoWbZHuBW6uI8UZT,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b2730386f31452810d4501d601c1ab67616d0000b2734f8d11352194c09aab1530e6ab67616d0000b27394bd50447700c46305e369b6ab67616d0000b273a333559091297eda04eba27c', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b2730386f31452810d4501d601c1ab67616d0000b2734f8d11352194c09aab1530e6ab67616d0000b27394bd50447700c46305e369b6ab67616d0000b273a333559091297eda04eba27c', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b2730386f31452810d4501d601c1ab67616d0000b2734f8d11352194c09aab1530e6ab67616d0000b27394bd50447700c46305e369b6ab67616d0000b273a333559091297eda04eba27c', 'width': 60}]",citylightsandstarrynights,"{'display_name': '1231774562', 'external_urls': {'spotify': 'https://open.spotify.com/user/1231774562'}, 'href': 'https://api.spotify.com/v1/users/1231774562', 'id': '1231774562', 'type': 'user', 'uri': 'spotify:user:1231774562'}",,True,NzU0LDJhZDYxZGY4OWQzNGNmNjg0YTY0MmEyY2JlNGFiZDZlNWRlYzkyYjY=,"{'href': 'https://api.spotify.com/v1/playlists/5cVuOsEoWbZHuBW6uI8UZT/tracks', 'total': 676}",playlist,spotify:playlist:5cVuOsEoWbZHuBW6uI8UZT
False,"sometimes classy, maybe trashy, always nasty",{'spotify': 'https://open.spotify.com/playlist/7netTooB7GBxp0SkpX3P8Z'},https://api.spotify.com/v1/playlists/7netTooB7GBxp0SkpX3P8Z,7netTooB7GBxp0SkpX3P8Z,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b2733c661c1204b2fa506a9044c1ab67616d0000b2735aee01b02a56be383fd611e3ab67616d0000b273816e65c1faed50ef8051bbeaab67616d0000b273ef761732e9e9cf8cc43189ea', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b2733c661c1204b2fa506a9044c1ab67616d0000b2735aee01b02a56be383fd611e3ab67616d0000b273816e65c1faed50ef8051bbeaab67616d0000b273ef761732e9e9cf8cc43189ea', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b2733c661c1204b2fa506a9044c1ab67616d0000b2735aee01b02a56be383fd611e3ab67616d0000b273816e65c1faed50ef8051bbeaab67616d0000b273ef761732e9e9cf8cc43189ea', 'width': 60}]",fakedeep,"{'display_name': '1231774562', 'external_urls': {'spotify': 'https://open.spotify.com/user/1231774562'}, 'href': 'https://api.spotify.com/v1/users/1231774562', 'id': '1231774562', 'type': 'user', 'uri': 'spotify:user:1231774562'}",,True,NzkwLDQwMGZkYTZlM2Q4MjU1YTVkZjQ1NzUwMmI3MmZjYjhmNmE4M2MzZDI=,"{'href': 'https://api.spotify.com/v1/playlists/7netTooB7GBxp0SkpX3P8Z/tracks', 'total': 731}",playlist,spotify:playlist:7netTooB7GBxp0SkpX3P8Z
False,i listen to this when im driving for long stretches of time and it gets boring like to LA or something,{'spotify': 'https://open.spotify.com/playlist/73JZo5cEbVg0eQa5xKI035'},https://api.spotify.com/v1/playlists/73JZo5cEbVg0eQa5xKI035,73JZo5cEbVg0eQa5xKI035,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b2731f4fdcad7e90799987685b02ab67616d0000b27336ab282c3f3b708467ec1fc4ab67616d0000b273bec56ddd5750d7071ced90f8ab67616d0000b273efb1e4d88a5419975115d25a', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b2731f4fdcad7e90799987685b02ab67616d0000b27336ab282c3f3b708467ec1fc4ab67616d0000b273bec56ddd5750d7071ced90f8ab67616d0000b273efb1e4d88a5419975115d25a', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b2731f4fdcad7e90799987685b02ab67616d0000b27336ab282c3f3b708467ec1fc4ab67616d0000b273bec56ddd5750d7071ced90f8ab67616d0000b273efb1e4d88a5419975115d25a', 'width': 60}]",funtimes,"{'display_name': '1231774562', 'external_urls': {'spotify': 'https://open.spotify.com/user/1231774562'}, 'href': 'https://api.spotify.com/v1/users/1231774562', 'id': '1231774562', 'type': 'user', 'uri': 'spotify:user:1231774562'}",,True,MzEyLDZiYzdjMTdlMWUxNDA5OTBjNDc5MmMyNzk3YzJkYWQzMTc2M2FkMGU=,"{'href': 'https://api.spotify.com/v1/playlists/73JZo5cEbVg0eQa5xKI035/tracks', 'total': 295}",playlist,spotify:playlist:73JZo5cEbVg0eQa5xKI035
False,im just trying to get spotify to recommend me songs,{'spotify': 'https://open.spotify.com/playlist/2Ji7mFoEIGfxkmhaWc9cFF'},https://api.spotify.com/v1/playlists/2Ji7mFoEIGfxkmhaWc9cFF,2Ji7mFoEIGfxkmhaWc9cFF,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b2730e4523de19939027a80bcd2dab67616d0000b273374d64ff1cb05b2228e7424bab67616d0000b27382824bdfd9080bbce21e6e7aab67616d0000b2739a8a128c73165cc986676b3b', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b2730e4523de19939027a80bcd2dab67616d0000b273374d64ff1cb05b2228e7424bab67616d0000b27382824bdfd9080bbce21e6e7aab67616d0000b2739a8a128c73165cc986676b3b', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b2730e4523de19939027a80bcd2dab67616d0000b273374d64ff1cb05b2228e7424bab67616d0000b27382824bdfd9080bbce21e6e7aab67616d0000b2739a8a128c73165cc986676b3b', 'width': 60}]",simp,"{'display_name': '1231774562', 'external_urls': {'spotify': 'https://open.spotify.com/user/1231774562'}, 'href': 'https://api.spotify.com/v1/users/1231774562', 'id': '1231774562', 'type': 'user', 'uri': 'spotify:user:1231774562'}",,True,OSw3YTEyZGJmNDcxZDk2ZjdkZGY2ZGZlMzE4MzVjOTdkOTkyMDFiZWY2,"{'href': 'https://api.spotify.com/v1/playlists/2Ji7mFoEIGfxkmhaWc9cFF/tracks', 'total': 4}",playlist,spotify:playlist:2Ji7mFoEIGfxkmhaWc9cFF
False,"The songs you loved most this year, all wrapped up.",{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1EtiJCMwK49F6X'},https://api.spotify.com/v1/playlists/37i9dQZF1EtiJCMwK49F6X,37i9dQZF1EtiJCMwK49F6X,"[{'height': None, 'url': 'https://lineup-images.scdn.co/your-top-songs-2019_DEFAULT-en.jpg', 'width': None}]",Your Top Songs 2019,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,False,MjYyNjk4MjUsMDAwMDAwMDA5NWI2ZmRhZDgyNDdiMGQ3OGU3MWQzYTQzZGM2MTQzYg==,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1EtiJCMwK49F6X/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1EtiJCMwK49F6X
False,the warm fuzzy feelings where i feel like i can conquer the world and dance around in my living room in my socks as the sun beams through the blinds ðŸ¥°ðŸ¥°ðŸ¥°,{'spotify': 'https://open.spotify.com/playlist/7HNFrB6iodzweIvONgxy6F'},https://api.spotify.com/v1/playlists/7HNFrB6iodzweIvONgxy6F,7HNFrB6iodzweIvONgxy6F,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734849278ce9876ebea7353d66', 'width': 640}]",lovedðŸ¥°âœ¨,"{'display_name': '1231774562', 'external_urls': {'spotify': 'https://open.spotify.com/user/1231774562'}, 'href': 'https://api.spotify.com/v1/users/1231774562', 'id': '1231774562', 'type': 'user', 'uri': 'spotify:user:1231774562'}",,True,OSw5OTk4NjRkMGMwNDk0YjcxZGFmOTZlMmQ1NjNhMmY3N2MwZGM3MjI4,"{'href': 'https://api.spotify.com/v1/playlists/7HNFrB6iodzweIvONgxy6F/tracks', 'total': 3}",playlist,spotify:playlist:7HNFrB6iodzweIvONgxy6F
False,dancing in my living room with fuzzy socks during christmas time,{'spotify': 'https://open.spotify.com/playlist/27DMkX74F2HDXfX2oFycv3'},https://api.spotify.com/v1/playlists/27DMkX74F2HDXfX2oFycv3,27DMkX74F2HDXfX2oFycv3,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f3ea7140c4a8ba597d0b276b', 'width': 640}]",hot coco,"{'display_name': '1231774562', 'external_urls': {'spotify': 'https://open.spotify.com/user/1231774562'}, 'href': 'https://api.spotify.com/v1/users/1231774562', 'id': '1231774562', 'type': 'user', 'uri': 'spotify:user:1231774562'}",,False,Myw1NGI5NGQxZThjODk3Y2MxNzU0YzVlM2RhZGY4MDZkOTc5NTM1ODY2,"{'href': 'https://api.spotify.com/v1/playlists/27DMkX74F2HDXfX2oFycv3/tracks', 'total': 1}",playlist,spotify:playlist:27DMkX74F2HDXfX2oFycv3
False,sometimes i just want to listen to songs with nice bass and drums lines and sad boys singing to me about their problems,{'spotify': 'https://open.spotify.com/playlist/0ZeutzVQ9eLSiUZnNvDimd'},https://api.spotify.com/v1/playlists/0ZeutzVQ9eLSiUZnNvDimd,0ZeutzVQ9eLSiUZnNvDimd,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b2731cce1764a83486d563410c5aab67616d0000b2735f62848633807c8a1e3914dfab67616d0000b273641659fda6c66fc62d34b7c0ab67616d0000b273813bfa3b996eb2169dd608ce', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b2731cce1764a83486d563410c5aab67616d0000b2735f62848633807c8a1e3914dfab67616d0000b273641659fda6c66fc62d34b7c0ab67616d0000b273813bfa3b996eb2169dd608ce', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b2731cce1764a83486d563410c5aab67616d0000b2735f62848633807c8a1e3914dfab67616d0000b273641659fda6c66fc62d34b7c0ab67616d0000b273813bfa3b996eb2169dd608ce', 'width': 60}]",sometimes,"{'display_name': '1231774562', 'external_urls': {'spotify': 'https://open.spotify.com/user/1231774562'}, 'href': 'https://api.spotify.com/v1/users/1231774562', 'id': '1231774562', 'type': 'user', 'uri': 'spotify:user:1231774562'}",,True,MTcsYzE3MThiY2U4MTMyNWNkZTFjNjFlNjNlZTY0YWQ5NjNiNTE3ODU0ZQ==,"{'href': 'https://api.spotify.com/v1/playlists/0ZeutzVQ9eLSiUZnNvDimd/tracks', 'total': 12}",playlist,spotify:playlist:0ZeutzVQ9eLSiUZnNvDimd
False,,{'spotify': 'https://open.spotify.com/playlist/16NFtlId5VvAXKCdmy5N2E'},https://api.spotify.com/v1/playlists/16NFtlId5VvAXKCdmy5N2E,16NFtlId5VvAXKCdmy5N2E,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b27325fb12689bbc453d22c322fcab67616d0000b273530de9a5808dcbda51660f27ab67616d0000b273e086dd341bb0c30d235f9cacab67616d0000b273eb82438892a0898390b18d7b', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b27325fb12689bbc453d22c322fcab67616d0000b273530de9a5808dcbda51660f27ab67616d0000b273e086dd341bb0c30d235f9cacab67616d0000b273eb82438892a0898390b18d7b', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b27325fb12689bbc453d22c322fcab67616d0000b273530de9a5808dcbda51660f27ab67616d0000b273e086dd341bb0c30d235f9cacab67616d0000b273eb82438892a0898390b18d7b', 'width': 60}]",PSL,"{'display_name': '1231774562', 'external_urls': {'spotify': 'https://open.spotify.com/user/1231774562'}, 'href': 'https://api.spotify.com/v1/users/1231774562', 'id': '1231774562', 'type': 'user', 'uri': 'spotify:user:1231774562'}",,False,NSxkZGNkYjJmMTk4NTM2MmYwYmM5OGM4NzU5ZDEzODNlZjM2NGM0ZDVi,"{'href': 'https://api.spotify.com/v1/playlists/16NFtlId5VvAXKCdmy5N2E/tracks', 'total': 4}",playlist,spotify:playlist:16NFtlId5VvAXKCdmy5N2E
False,,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1E8JrLwYoV6YAb'},https://api.spotify.com/v1/playlists/37i9dQZF1E8JrLwYoV6YAb,37i9dQZF1E8JrLwYoV6YAb,"[{'height': None, 'url': 'https://seeded-session-images.scdn.co/v1/img/track/7jAnVFpDIsEoVyI2An2rUp/en', 'width': None}]",Coping (Get Over) Radio,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,False,MjY0MzU5MDUsMDAwMDAwMDAzMTZiZGUxYzU3YjA5NWNjMWU4YTMxMDk5ODFmYTNiNw==,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1E8JrLwYoV6YAb/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1E8JrLwYoV6YAb
False,"imagine sitting on the beach in the presidio with the waves crashing, and the sun warming up your face",{'spotify': 'https://open.spotify.com/playlist/4xuJXvEuR9Z0zCPsxMQM3i'},https://api.spotify.com/v1/playlists/4xuJXvEuR9Z0zCPsxMQM3i,4xuJXvEuR9Z0zCPsxMQM3i,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b2730526c0ada50c06575ad009b9ab67616d0000b27317edb2e80d7686e0185b7554ab67616d0000b273a0b0042f2292f198c921d5a2ab67616d0000b273c69442acf5c297d76a3505f2', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b2730526c0ada50c06575ad009b9ab67616d0000b27317edb2e80d7686e0185b7554ab67616d0000b273a0b0042f2292f198c921d5a2ab67616d0000b273c69442acf5c297d76a3505f2', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b2730526c0ada50c06575ad009b9ab67616d0000b27317edb2e80d7686e0185b7554ab67616d0000b273a0b0042f2292f198c921d5a2ab67616d0000b273c69442acf5c297d76a3505f2', 'width': 60}]",sparkjoy,"{'display_name': '1231774562', 'external_urls': {'spotify': 'https://open.spotify.com/user/1231774562'}, 'href': 'https://api.spotify.com/v1/users/1231774562', 'id': '1231774562', 'type': 'user', 'uri': 'spotify:user:1231774562'}",,False,MzUsMzlkNGQxYzRjODQ2ZGE3MzJiMTU4OGQ2ZjYxYjNiOGUxODEyMGU3OA==,"{'href': 'https://api.spotify.com/v1/playlists/4xuJXvEuR9Z0zCPsxMQM3i/tracks', 'total': 31}",playlist,spotify:playlist:4xuJXvEuR9Z0zCPsxMQM3i
False,,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1E8GHn86kvwCd8'},https://api.spotify.com/v1/playlists/37i9dQZF1E8GHn86kvwCd8,37i9dQZF1E8GHn86kvwCd8,"[{'height': None, 'url': 'https://seeded-session-images.scdn.co/v1/img/track/4luBGXcgpFQPPAtcF4zEdv/en', 'width': None}]",Erase Radio,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,False,MjY0MzU5MDUsMDAwMDAwMDA1ZjAzMzRlOTM3ZjllZmIwNzk2ODQ0NmE0MDg3OGZkNQ==,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1E8GHn86kvwCd8/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1E8GHn86kvwCd8
